Academic year,Level of study,Number
2015/16,Postgraduate (research),35975
2016/17,Postgraduate (research),35340
2017/18,Postgraduate (research),36080
2018/19,Postgraduate (research),37150
2019/20,Postgraduate (research),34165
2020/21,Postgraduate (research),36095
2021/22,Postgraduate (research),33600
2022/23,Postgraduate (research),32605
2023/24,Postgraduate (research),34010
2024/25,Postgraduate (research),37630
2015/16,Postgraduate (taught),282060
2016/17,Postgraduate (taught),314045
2017/18,Postgraduate (taught),332495
2018/19,Postgraduate (taught),348315
2019/20,Postgraduate (taught),383770
2020/21,Postgraduate (taught),446875
2021/22,Postgraduate (taught),493090
2022/23,Postgraduate (taught),548545
2023/24,Postgraduate (taught),514265
2024/25,Postgraduate (taught),486985
2015/16,First degree,557065
2016/17,First degree,563505
2017/18,First degree,571510
2018/19,First degree,585170
2019/20,First degree,612040
2020/21,First degree,659235
2021/22,First degree,649120
2022/23,First degree,660430
2023/24,First degree,654465
2024/25,First degree,668170
2015/16,Other undergraduate,143850
2016/17,Other undergraduate,131935
2017/18,Other undergraduate,124145
2018/19,Other undergraduate,116800
2019/20,Other undergraduate,106935
2020/21,Other undergraduate,110185
2021/22,Other undergraduate,107570
2022/23,Other undergraduate,123825
2023/24,Other undergraduate,115555
2024/25,Other undergraduate,108000
2015/16,Total,1018950
2016/17,Total,1044825
2017/18,Total,1064235
2018/19,Total,1087435
2019/20,Total,1136910
2020/21,Total,1252390
2021/22,Total,1283380
2022/23,Total,1365410
2023/24,Total,1318300
2024/25,Total,1300785
